date,geo,Asphalt/concrete work,Driveway sealing,Gutter cleaning,Junk removal,Pressure washing,Soft washing,Tree service,Window cleaning
2020-12-27,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,AL,0.0,0.0,0.0,0.0,18.0,0.0,41.0,0.0
2020-12-27,AR,0.0,0.0,78.0,0.0,0.0,0.0,31.0,0.0
2020-12-27,AZ,0.0,0.0,0.0,26.0,0.0,0.0,41.0,24.0
2020-12-27,CA,0.0,100.0,39.0,39.0,17.0,0.0,58.0,38.0
2020-12-27,CO,0.0,0.0,0.0,42.0,0.0,0.0,16.0,0.0
2020-12-27,CT,0.0,0.0,0.0,34.0,0.0,0.0,39.0,0.0
2020-12-27,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,FL,0.0,0.0,22.0,37.0,39.0,0.0,41.0,47.0
2020-12-27,GA,0.0,0.0,51.0,43.0,25.0,0.0,29.0,25.0
2020-12-27,HI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,IA,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
2020-12-27,ID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,IL,0.0,0.0,12.0,32.0,0.0,0.0,35.0,15.0
2020-12-27,IN,0.0,0.0,0.0,0.0,36.0,0.0,28.0,35.0
2020-12-27,KS,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
2020-12-27,KY,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0
2020-12-27,LA,0.0,0.0,0.0,0.0,27.0,0.0,19.0,0.0
2020-12-27,MA,0.0,0.0,22.0,40.0,0.0,0.0,34.0,0.0
2020-12-27,MD,0.0,0.0,11.0,19.0,0.0,0.0,32.0,0.0
2020-12-27,ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,MI,0.0,0.0,0.0,18.0,16.0,0.0,20.0,0.0
2020-12-27,MN,0.0,0.0,0.0,32.0,0.0,0.0,13.0,0.0
2020-12-27,MO,0.0,0.0,0.0,41.0,0.0,0.0,30.0,0.0
2020-12-27,MS,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
2020-12-27,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,NC,0.0,0.0,33.0,21.0,21.0,0.0,49.0,30.0
2020-12-27,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,NH,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
2020-12-27,NJ,0.0,0.0,30.0,35.0,0.0,0.0,42.0,0.0
2020-12-27,NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,NV,0.0,0.0,0.0,32.0,0.0,0.0,36.0,0.0
2020-12-27,NY,0.0,0.0,37.0,24.0,24.0,0.0,28.0,26.0
2020-12-27,OH,0.0,0.0,20.0,22.0,14.0,0.0,23.0,13.0
2020-12-27,OK,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2020-12-27,OR,0.0,0.0,41.0,34.0,0.0,0.0,23.0,0.0
2020-12-27,PA,0.0,0.0,25.0,20.0,21.0,0.0,30.0,32.0
2020-12-27,RI,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
2020-12-27,SC,0.0,0.0,0.0,0.0,18.0,0.0,16.0,21.0
2020-12-27,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,TN,0.0,0.0,25.0,28.0,27.0,0.0,28.0,19.0
2020-12-27,TX,0.0,0.0,28.0,44.0,32.0,0.0,38.0,32.0
2020-12-27,UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,VA,0.0,0.0,20.0,19.0,19.0,0.0,38.0,36.0
2020-12-27,VT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,WA,0.0,0.0,24.0,45.0,0.0,0.0,33.0,42.0
2020-12-27,WI,0.0,0.0,0.0,26.0,0.0,0.0,19.0,0.0
2020-12-27,WV,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0
2020-12-27,WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,AL,0.0,0.0,40.0,32.0,0.0,0.0,47.0,0.0
2021-01-03,AR,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
