GEO_ID,Geography,Homeownership%,MedianIncome,LargeHH%,OldHouse%
860Z200US01005,ZCTA5 01005,0.77,97390.0,0.315,0.675
860Z200US01007,ZCTA5 01007,0.733,99056.0,0.431,0.576
860Z200US01008,ZCTA5 01008,0.936,90625.0,0.456,0.722
860Z200US01010,ZCTA5 01010,0.884,101477.0,0.309,0.601
860Z200US01011,ZCTA5 01011,0.884,87012.0,0.287,0.656
860Z200US01012,ZCTA5 01012,0.822,75526.0,0.561,0.565
860Z200US01026,ZCTA5 01026,0.837,98438.0,0.422,0.589
860Z200US01028,ZCTA5 01028,0.856,100997.0,0.445,0.61
860Z200US01029,ZCTA5 01029,0.986,99188.0,0.534,0.56
860Z200US01030,ZCTA5 01030,0.778,92485.0,0.398,0.561
860Z200US01032,ZCTA5 01032,0.875,79583.0,0.518,0.709
860Z200US01033,ZCTA5 01033,0.861,110188.0,0.304,0.633
860Z200US01034,ZCTA5 01034,0.962,103603.0,0.311,0.599
860Z200US01035,ZCTA5 01035,0.743,117580.0,0.456,0.675
860Z200US01037,ZCTA5 01037,0.974,84022.0,0.516,0.832
860Z200US01038,ZCTA5 01038,0.767,112083.0,0.267,0.713
860Z200US01039,ZCTA5 01039,0.794,115114.0,0.387,0.681
860Z200US01050,ZCTA5 01050,0.872,96328.0,0.342,0.62
860Z200US01054,ZCTA5 01054,0.872,113750.0,0.395,0.734
860Z200US01056,ZCTA5 01056,0.729,78981.0,0.472,0.52
860Z200US01057,ZCTA5 01057,0.785,90436.0,0.388,0.596
860Z200US01062,ZCTA5 01062,0.676,87800.0,0.555,0.567
860Z200US01068,ZCTA5 01068,0.938,96207.0,0.456,0.691
860Z200US01069,ZCTA5 01069,0.672,79725.0,0.566,0.572
860Z200US01071,ZCTA5 01071,0.822,107292.0,0.351,0.592
860Z200US01072,ZCTA5 01072,0.896,103188.0,0.46,0.519
860Z200US01073,ZCTA5 01073,0.838,125534.0,0.261,0.765
860Z200US01075,ZCTA5 01075,0.666,93646.0,0.529,0.603
860Z200US01077,ZCTA5 01077,0.749,108833.0,0.43,0.561
860Z200US01081,ZCTA5 01081,0.856,87337.0,0.322,0.548
860Z200US01083,ZCTA5 01083,0.659,92558.0,0.47,0.556
860Z200US01084,ZCTA5 01084,0.952,91667.0,0.28,0.865
860Z200US01085,ZCTA5 01085,0.601,83821.0,0.518,0.502
860Z200US01095,ZCTA5 01095,0.837,124682.0,0.298,0.706
860Z200US01096,ZCTA5 01096,0.819,105729.0,0.294,0.601
860Z200US01098,ZCTA5 01098,0.89,93000.0,0.367,0.61
860Z200US01106,ZCTA5 01106,0.875,143961.0,0.381,0.757
860Z200US01118,ZCTA5 01118,0.795,80906.0,0.478,0.566
860Z200US01128,ZCTA5 01128,1.0,92125.0,0.44,0.667
860Z200US01129,ZCTA5 01129,0.751,92500.0,0.504,0.523
860Z200US01222,ZCTA5 01222,0.967,84583.0,0.263,0.685
860Z200US01223,ZCTA5 01223,0.977,82773.0,0.446,0.545
860Z200US01226,ZCTA5 01226,0.714,81168.0,0.52,0.659
860Z200US01230,ZCTA5 01230,0.814,82871.0,0.476,0.595
860Z200US01235,ZCTA5 01235,0.813,76699.0,0.444,0.549
860Z200US01236,ZCTA5 01236,0.896,91172.0,0.349,0.718
860Z200US01243,ZCTA5 01243,0.972,89063.0,0.291,0.601
860Z200US01253,ZCTA5 01253,0.965,108068.0,0.29,0.615
860Z200US01254,ZCTA5 01254,0.958,113304.0,0.383,0.793
860Z200US01255,ZCTA5 01255,0.907,85417.0,0.469,0.683
860Z200US01257,ZCTA5 01257,0.797,80227.0,0.501,0.634
860Z200US01258,ZCTA5 01258,0.93,127813.0,0.341,0.623
860Z200US01259,ZCTA5 01259,0.943,125795.0,0.398,0.687
860Z200US01262,ZCTA5 01262,0.817,142679.0,0.361,0.599
860Z200US01264,ZCTA5 01264,0.987,85313.0,0.506,0.773
860Z200US01266,ZCTA5 01266,0.936,98828.0,0.474,0.609
860Z200US01267,ZCTA5 01267,0.69,98750.0,0.565,0.564
860Z200US01270,ZCTA5 01270,0.936,104961.0,0.268,0.73
860Z200US01330,ZCTA5 01330,0.798,81691.0,0.385,0.583
860Z200US01337,ZCTA5 01337,0.801,79274.0,0.384,0.592
860Z200US01340,ZCTA5 01340,0.784,82578.0,0.424,0.528
860Z200US01341,ZCTA5 01341,0.867,93250.0,0.377,0.643
860Z200US01342,ZCTA5 01342,0.734,100917.0,0.374,0.687
860Z200US01346,ZCTA5 01346,0.749,111150.0,0.81,0.514
860Z200US01351,ZCTA5 01351,0.615,99375.0,0.295,0.751
860Z200US01354,ZCTA5 01354,0.865,90000.0,0.398,0.619
860Z200US01355,ZCTA5 01355,0.937,80327.0,0.396,0.591
860Z200US01360,ZCTA5 01360,0.885,102470.0,0.395,0.677
860Z200US01366,ZCTA5 01366,0.931,107656.0,0.471,0.679
860Z200US01367,ZCTA5 01367,0.917,89375.0,0.313,0.667
860Z200US01368,ZCTA5 01368,0.917,101875.0,0.356,0.607
860Z200US01370,ZCTA5 01370,0.626,76715.0,0.509,0.562
860Z200US01373,ZCTA5 01373,0.698,102578.0,0.563,0.713
860Z200US01431,ZCTA5 01431,0.964,110536.0,0.263,0.675
860Z200US01436,ZCTA5 01436,0.732,88421.0,0.382,0.65
860Z200US01450,ZCTA5 01450,0.795,189355.0,0.355,0.702
860Z200US01452,ZCTA5 01452,0.878,102344.0,0.356,0.697
860Z200US01460,ZCTA5 01460,0.841,146250.0,0.313,0.688
860Z200US01462,ZCTA5 01462,0.757,109884.0,0.391,0.609
860Z200US01463,ZCTA5 01463,0.77,126824.0,0.392,0.658
860Z200US01464,ZCTA5 01464,0.756,121875.0,0.452,0.629
860Z200US01468,ZCTA5 01468,0.774,110938.0,0.296,0.518
860Z200US01469,ZCTA5 01469,0.838,113162.0,0.395,0.619
860Z200US01473,ZCTA5 01473,0.869,101161.0,0.357,0.643
860Z200US01474,ZCTA5 01474,0.846,130156.0,0.255,0.637
860Z200US01475,ZCTA5 01475,0.735,85638.0,0.285,0.566
860Z200US01501,ZCTA5 01501,0.738,101929.0,0.512,0.504
860Z200US01504,ZCTA5 01504,0.64,98986.0,0.508,0.528
860Z200US01505,ZCTA5 01505,0.86,124732.0,0.328,0.631
860Z200US01507,ZCTA5 01507,0.827,119809.0,0.38,0.604
860Z200US01515,ZCTA5 01515,0.851,76382.0,0.306,0.597
860Z200US01516,ZCTA5 01516,0.844,147859.0,0.257,0.608
860Z200US01520,ZCTA5 01520,0.829,147582.0,0.386,0.621
860Z200US01521,ZCTA5 01521,0.981,86806.0,0.488,0.526
860Z200US01522,ZCTA5 01522,0.697,118824.0,0.382,0.601
860Z200US01523,ZCTA5 01523,0.829,130444.0,0.4,0.616
860Z200US01524,ZCTA5 01524,0.837,93191.0,0.437,0.585
860Z200US01527,ZCTA5 01527,0.639,116000.0,0.419,0.551
860Z200US01529,ZCTA5 01529,0.713,115789.0,0.264,0.652
860Z200US01531,ZCTA5 01531,0.924,99375.0,0.437,0.665
860Z200US01532,ZCTA5 01532,0.782,174358.0,0.314,0.69
860Z200US01534,ZCTA5 01534,0.704,134539.0,0.422,0.724
860Z200US01535,ZCTA5 01535,0.607,81010.0,0.43,0.56
860Z200US01540,ZCTA5 01540,0.764,118389.0,0.436,0.622
860Z200US01541,ZCTA5 01541,0.942,150577.0,0.277,0.733
860Z200US01542,ZCTA5 01542,0.775,107674.0,0.512,0.644
860Z200US01543,ZCTA5 01543,0.817,155504.0,0.336,0.678
860Z200US01545,ZCTA5 01545,0.658,136225.0,0.364,0.584
